Ref,Value,QTY PER,Footprint,Description,Digi-Key Part No.,LCSC Part Number,Link,Manufacturer,Manufacturer PN,
R111 ,12.4k,1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,RES 12.4K OHM 1% 1/8W 0805,RMCF0805FT12K4CT-ND, , ,Stackpole Electronics Inc,RMCF0805FT12K4
SW101 ,SW_SPST,1,Button_Switch_SMD:SW_SPST_B3U-3000P-B,,SWITCH TACTILE SPST-NO 0.05A 12V,SW1256CT-ND, , ,Omron Electronics Inc-EMC Div,B3U-3000P-B
U101 ,UCC27517DBVR,1,Package_TO_SOT_SMD:SOT-23-5,,IC GATE DRVR LOW-SIDE SOT23-5,296-39527-1-ND, , ,Texas Instruments,UCC27517DBVR
U102 ,LP2985-3.3,1,Package_TO_SOT_SMD:SOT-23-5,,IC REG LINEAR 3.3V 150MA SOT23-5,296-18479-1-ND, , ,Texas Instruments,LP2985A-33DBVR
U103 ,OPA197,1,Package_TO_SOT_SMD:SOT-23-5,,IC OPAMP GP 1 CIRCUIT 8VSSOP,296-44109-1-ND, , ,Texas Instruments,OPA197IDGKT
U104 ,74HC4046,1,Package_SO:SOIC-16W_5.3x10.2mm_P1.27mm,,IC PLL CMOS LOGIC W/VCO HS 16SO,SN74LV4046ANS-ND,C1535861,https://www.digikey.com/products/en?keywords=SN74LV4046ANS-ND,Texas Instruments,SN74LV4046ANS
U105 ,AVR128DA28,1,Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm,,IC MCU 8BIT 128KB FLASH 28SOIC,150-AVR128DA28T-E/SOCT-ND, , ,Microchip Technology,AVR128DA28T-E/SO
U106 ,74HC390,1,Package_SO:SOIC-16W_5.3x10.2mm_P1.27mm,,IC COUNTER DUAL 4STAGE 16SOIC,MC74HC390ADR2GOSCT-N, , ,onsemi,MC74HC390ADR2G
U107 ,74HC390,1,Package_SO:SOIC-16W_5.3x10.2mm_P1.27mm,,DECADE COUNTER  HC/UH SERIES,2156-MC74HC390AFEL-ND, , ,onsemi,MC74HC390AFEL
U108 ,LP2985-5.0,1,Package_TO_SOT_SMD:SOT-23-5,,IC REG LINEAR 5V 150MA SOT23-5,296-20717-1-ND, , ,Texas Instruments,LP2985-50DBVR
W101 ,TP2,1,Measurement:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,, , , , , , 
W102 ,TP3,1,Measurement:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,, , , , , , 
W103 ,TP1,1,Measurement:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,, , , , , , 
X101 ,SIT1566AC TCO,1,Oscillator:Oscillator_SMD_SiTime_SIT1566AC-4Pin_BGA,,MEMS OSC TCXO 32.768KHZ CSP,1473-SIT1566AC-JV-XXE-32.768ECT-ND, , ,SiTime,SIT1566AC-JV-XXE-32.768E
